address,eligible,status_text,latency_sec,checked_at,lat,lon,method
74-76 Johnston Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.263,2025-08-12T04:33:41.993770+00:00,-37.7983300,144.9771100,dom
420 St Kilda Road Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.208,2025-08-12T04:33:49.676146+00:00,-37.8361120,144.9748720,dom
186-188 Smith Street Melbourne VIC,False,,33.479,2025-08-12T04:34:06.568673+00:00,-37.8031574,144.9837077,dom
106 Victoria Street Melbourne VIC,False,,33.514,2025-08-12T04:34:06.718644+00:00,-37.7992449,144.9788532,dom
421 Rathdowne Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.233,2025-08-12T04:34:14.802940+00:00,-37.7965118,144.9704476,dom
235 Flemington Road Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.232,2025-08-12T04:34:14.951119+00:00,-37.7941345,144.9473446,dom
290-301 Nicholson Street Melbourne VIC,False,,33.461,2025-08-12T04:34:15.454272+00:00,-37.7932452,144.9753768,dom
117 Moray Street Melbourne VIC,False,,33.410,2025-08-12T04:34:23.086256+00:00,-37.8299014,144.9621407,dom
418 Lygon Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.358,2025-08-12T04:34:23.308732+00:00,-37.7969492,144.9678160,dom
62 Johnston Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.333,2025-08-12T04:34:23.787204+00:00,-37.7982994,144.9768502,dom
146-154 Elgin Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.246,2025-08-12T04:34:31.333567+00:00,-37.7971422,144.9696219,dom
295-297 Brunswick Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.226,2025-08-12T04:34:32.013047+00:00,-37.7984386,144.9782418,dom
276 Brunswick Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.200,2025-08-12T04:34:39.533859+00:00,-37.7989463,144.9785430,dom
225 Drummond Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.223,2025-08-12T04:34:40.236401+00:00,-37.8004336,144.9681114,dom
